objID,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag
161881099993646792,109.999342740,44.905108360,0.0064,0.0238,19.3504,0.0254,18.6075,0.0054,18.3032,0.0043,18.1483,0.0071,18.0569,0.0195
161891099471484215,109.947082460,44.911364940,0.0164,0.0274,21.3582,0.0550,20.7855,0.0543,20.6189,0.0362,20.7352,0.0962,20.5555,0.1433
161891099416218768,109.941660970,44.915114770,0.0966,0.0324,21.8700,0.0432,21.5026,0.1103,21.0689,0.0337,20.4220,0.0583,19.9010,0.1810
161891099452146479,109.945161200,44.913230830,0.0073,0.0105,21.7728,0.1593,21.4165,0.0566,19.7198,0.0108,18.8777,0.0111,18.4054,0.0154
161901099483995094,109.948494230,44.920347920,0.0196,0.0214,21.3788,0.1654,20.9037,0.0559,20.8765,0.0413,20.8482,0.0455,,
161891099511369794,109.951057660,44.915978420,0.0027,0.0078,18.3853,0.0094,17.2029,0.0020,16.6517,0.0031,16.4020,0.0036,16.2480,0.0071
161901099785610292,109.978496630,44.916388970,0.0022,0.0116,15.7465,0.0031,15.2744,0.0010,15.1062,0.0025,15.0577,0.0035,15.0168,0.0052
161911099648131973,109.964722600,44.926111980,0.0454,0.0579,21.4340,0.1171,,,21.5170,0.0485,21.2830,0.0549,,
161911099582929028,109.958404470,44.932030860,0.0529,0.0529,21.8857,0.1743,,,21.5631,0.0465,,,,
161911099417052313,109.941687750,44.926356320,0.0767,0.0403,13.4130,,12.5030,,12.1020,,11.8620,,11.7250,
161891099733382484,109.973255070,44.909996980,0.0150,0.0165,21.4364,0.0582,20.8094,0.0290,20.5360,0.0321,20.1076,0.0180,19.9587,0.2066
161911099565510817,109.956507600,44.925166210,0.0010,0.0071,16.4978,0.0072,16.1139,0.0025,15.9762,0.0027,15.9375,0.0017,15.8960,0.0074
161891099500707482,109.950030730,44.914012460,0.0021,0.0185,21.1301,0.0590,19.9336,0.0166,19.0404,0.0045,18.6548,0.0064,18.4360,0.0121
161901099651599295,109.965158230,44.923819970,0.0095,0.0107,21.8760,0.1958,20.8297,0.0381,19.9725,0.0152,19.5408,0.0241,19.3399,0.0654
161901099093258820,109.909377810,44.923476960,0.0023,0.0074,19.4662,0.0073,18.7008,0.0054,18.3865,0.0055,18.2404,0.0116,18.1178,0.0080
161901099322371973,109.932244610,44.917773440,0.0075,0.0071,21.5387,0.0211,20.2634,0.0138,19.5895,0.0069,19.2793,0.0199,19.0125,0.0360
161911099102585169,109.910285860,44.928764490,0.0047,0.0050,20.3952,0.0247,19.0752,0.0133,17.5596,0.0037,16.8797,0.0053,16.5609,0.0125
161921099060312766,109.906003320,44.935104190,0.0030,0.0292,21.8551,0.1905,20.9071,0.0478,19.7324,0.0097,19.2396,0.0228,18.9444,0.0249
161921099063385887,109.906376800,44.937695310,0.0028,0.0121,16.9644,0.0041,15.8451,0.0023,15.3058,0.0022,15.0426,0.0032,14.8909,0.0043
161911099254753290,109.925488070,44.927198510,0.0026,0.0035,18.1535,0.0068,17.7036,0.0033,17.5469,0.0032,17.4905,0.0100,17.4687,0.0078
161901099276952127,109.927903220,44.917885570,0.0163,0.0136,21.8840,0.1703,20.9510,0.0417,20.3911,0.0246,20.0979,0.0823,19.6465,0.1304
161931099342131567,109.934011790,44.942547510,0.0132,0.0193,21.1532,0.0479,20.4285,0.0430,20.1635,0.0236,19.8651,0.0483,19.4596,0.0819
161941099140030395,109.913870320,44.949788010,0.0089,0.0108,21.9933,0.1928,21.0984,0.0390,20.0017,0.0130,19.5151,0.0198,19.2323,0.0487
161931099401416977,109.940069080,44.946941660,0.0014,0.0065,16.6241,0.0022,15.9984,0.0016,15.7940,0.0012,15.7046,0.0058,15.6472,0.0075
161931099205085434,109.920493910,44.945633640,0.0016,0.0188,19.3172,0.0124,18.0879,0.0036,17.4447,0.0039,17.1443,0.0047,16.9808,0.0092
161921099163445178,109.916304870,44.937114550,0.0338,0.0494,21.8585,0.0317,21.6330,0.0328,21.4530,0.0269,21.3238,0.1121,20.8423,0.1837
161921099275427668,109.927479720,44.939195720,0.0028,0.0097,14.4606,0.0023,14.0975,0.0012,13.9755,0.0018,13.9458,0.0013,13.9026,0.0050
161941099127107326,109.912734810,44.955612230,0.0081,0.0097,21.6491,0.1204,20.5214,0.0234,19.7297,0.0093,19.3697,0.0173,19.1263,0.0252
161941098796273864,109.879499340,44.952625960,0.0062,0.0067,20.1485,0.0257,19.6119,0.0119,19.3641,0.0144,19.2822,0.0177,19.2158,0.0648
161941098811519655,109.881157220,44.957497140,0.0922,0.0922,21.9663,0.1929,,,21.6325,0.2273,21.3605,0.1801,,
161981098862354106,109.886081900,44.986239380,0.0379,0.0241,21.3990,0.0899,20.9806,0.0549,20.8135,0.0408,20.6700,0.0720,20.6973,0.1572
161981098745665380,109.874643390,44.987247570,0.0029,0.0062,18.7056,0.0061,18.1581,0.0059,17.9548,0.0030,17.8467,0.0118,17.8434,0.0190
161981098808226902,109.880650610,44.988480250,0.0095,0.0088,20.5942,0.0207,19.8789,0.0057,19.6345,0.0108,19.5000,0.0108,19.4800,0.0529
161941099019647841,109.901869790,44.956028690,0.0120,0.0162,20.7282,0.0370,20.2710,0.0278,20.0367,0.0225,19.9027,0.0354,19.8957,0.1233
161951099024591061,109.902340530,44.958664700,0.0121,0.0138,21.1468,0.0590,20.2655,0.0504,19.8129,0.0335,19.5265,0.0570,19.2872,0.1154
161931098973298218,109.897276380,44.947973080,0.0051,0.0051,19.3310,0.0166,18.9549,0.0107,18.8130,0.0051,18.7992,0.0069,18.7487,0.0215
161941098863368895,109.886257470,44.956853650,0.0088,0.0226,20.6790,0.0055,19.5301,0.0143,18.9479,0.0070,18.6827,0.0087,18.4805,0.0158
161951099067038982,109.906622770,44.965299940,0.0516,0.0539,21.8761,0.0814,21.3841,0.0569,21.1127,0.0558,20.8111,0.0954,,
161961099091293781,109.909306300,44.969283940,0.1017,0.1017,21.9984,0.2035,,,21.5864,0.1474,,,,
161981098770277109,109.876998310,44.988704630,0.0099,0.0078,20.9232,0.0335,20.3130,0.0351,19.8565,0.0142,19.3751,0.0306,19.3110,0.0179
161961098850698078,109.885024180,44.972850290,0.0039,0.0097,17.7405,0.0028,16.9207,0.0033,16.5972,0.0021,16.4524,0.0062,16.3709,0.0076
161961099059361069,109.905888550,44.967043130,0.0093,0.0110,21.7615,0.1341,21.0250,0.0463,20.0058,0.0118,19.5498,0.0328,19.1769,0.0620
161981098746648061,109.874596240,44.989339790,0.0454,0.0683,21.8204,0.0381,21.3457,0.0785,21.3609,0.0558,20.9315,0.1733,,
161891100393444401,110.039170170,44.911462750,0.0256,0.0214,21.4734,0.0857,20.6930,0.0405,20.1864,0.0771,19.7827,0.1457,19.5414,0.1447
161891100388121638,110.039017500,44.909046660,0.0223,0.0240,21.5151,0.1821,21.3804,0.0492,20.9975,0.0435,20.7540,0.0280,20.3104,0.3513
161911100662961371,110.066182900,44.925663650,0.0196,0.0255,21.4422,0.0998,21.3212,0.0674,21.0233,0.0323,20.9857,0.0935,,
161901100460908202,110.045962180,44.922986500,0.0140,0.0152,21.7548,0.1681,21.3396,0.0732,20.4379,0.0163,20.0119,0.0804,19.6824,0.0470
161911100567921752,110.056815070,44.926005910,0.1709,0.1709,21.7689,0.1702,,,22.2434,0.1446,,,,
161921100437139667,110.043902780,44.940701900,0.0097,0.0100,21.7312,0.0736,20.7170,0.0208,20.0928,0.0147,19.6615,0.0517,19.4926,0.0569
161891100468975063,110.046777460,44.912011080,0.0267,0.0274,21.3161,0.1421,21.4446,0.0465,21.0626,0.0417,20.8203,0.1534,,
161921100425693769,110.042309200,44.935820670,0.1397,0.1610,21.7102,0.2022,21.6174,0.0941,21.5042,0.0890,,,,
161891100563541595,110.056331730,44.909181380,0.0237,0.0214,21.4975,0.1056,21.2316,0.0586,20.8841,0.0306,20.7461,0.0464,,
161911100525931274,110.052560200,44.925552170,0.0125,0.0051,16.7525,0.0054,16.3992,0.0024,16.2619,0.0024,16.2325,0.0040,16.2044,0.0066
161911100878953622,110.087910190,44.927471940,0.0088,0.0108,21.8060,0.0505,20.6634,0.0288,19.7587,0.0082,19.3080,0.0054,19.0660,0.0153
161911100943947077,110.094450610,44.930371570,0.0060,0.0032,19.7456,0.0082,18.5856,0.0065,17.8278,0.0050,17.4544,0.0064,17.2574,0.0072
161941101108811177,110.111013030,44.950372650,0.0041,0.0074,20.8445,0.0490,19.8401,0.0154,19.3845,0.0064,19.1642,0.0162,19.0129,0.0158
161931101126374359,110.112536540,44.944698480,0.0823,0.0955,21.6739,0.0609,21.4129,0.1890,21.2026,0.1180,,,20.6621,0.1776
161931100927659589,110.092790580,44.949124970,0.0032,0.0037,16.3170,0.0073,15.8399,0.0027,15.6740,0.0028,15.6186,0.0061,15.5448,0.0042
161931100903915394,110.090503440,44.945571160,0.0338,0.0338,19.3547,0.0299,19.7462,0.0407,20.2787,0.2424,,,,
161921101038985628,110.103909460,44.937498680,0.0023,0.0038,16.1894,0.0053,15.6885,0.0023,15.5095,0.0017,15.4172,0.0030,15.3647,0.0056
161951101023539844,110.102371480,44.965981980,0.0192,0.0222,21.3099,0.0677,20.8437,0.0497,20.6610,0.0328,20.2860,0.1060,20.5531,0.1544
161931101127934845,110.112674490,44.945050760,0.0833,0.1186,21.3494,0.0554,21.5023,0.1410,21.5439,0.0952,,,,
161951100995505940,110.099571280,44.962748150,0.0058,0.0060,21.6401,0.0752,20.8355,0.0681,19.3269,0.0089,18.6483,0.0157,18.2830,0.0296
161921100527336389,110.052742010,44.938022420,0.0218,0.0351,21.4158,0.0441,21.1021,0.0551,21.0307,0.0413,20.6469,0.2416,20.7868,0.1926
161921100608209580,110.060739870,44.940825890,0.0084,0.0103,21.8854,0.0519,20.5356,0.0415,19.8988,0.0254,19.3610,0.0386,19.2454,0.0441
161931100701736710,110.070197700,44.946740720,0.0044,0.0046,19.4543,0.0245,18.7594,0.0318,18.3053,0.0314,17.9206,0.0379,17.7288,0.0317
